Gene ID,Expression level
WBGene00001336,30.049
WBGene00001337,44.945
WBGene00001338,13.567
WBGene00001340,47.32
WBGene00001345,12.132
WBGene00001352,3.913
WBGene00001358,8.23
WBGene00001362,0
WBGene00001365,0
WBGene00001366,21.837
WBGene00001368,36.921
WBGene00001371,36.506
WBGene00001372,0.68
WBGene00001373,0
WBGene00001374,35.165
WBGene00001377,12.768
WBGene00001385,3505.52
WBGene00001386,11098.112
WBGene00001387,54.32
WBGene00001388,0
WBGene00001389,1.565
WBGene00001390,163.267
WBGene00001391,0.118
WBGene00001392,2.113
WBGene00001393,146.632
WBGene00001394,32.061
WBGene00001395,33.565
WBGene00001396,2.789
WBGene00001397,4.755
WBGene00001398,3.348
WBGene00001399,0
WBGene00001400,0
WBGene00001401,0
WBGene00001402,0
WBGene00001403,14.958
WBGene00001404,117.824
WBGene00001405,4.871
WBGene00001406,2.367
WBGene00001410,21.451
WBGene00001411,62.108
WBGene00001412,3.053
WBGene00001413,0
WBGene00001414,0
WBGene00001423,82.167
WBGene00001424,0
WBGene00001425,2.538
WBGene00001426,111.098
WBGene00001427,173.472
WBGene00001428,22.14
WBGene00001429,36.117
WBGene00001430,45.065
WBGene00001431,48.12
WBGene00001432,2.881
WBGene00001433,37.075
WBGene00001434,9.16
WBGene00001435,0
WBGene00001436,0
WBGene00001437,0
WBGene00001438,26.986
WBGene00001439,11.232
WBGene00001440,4.859
WBGene00001441,5.558
WBGene00001442,0
WBGene00001443,12.191
WBGene00001444,91.426
WBGene00001445,1.366
WBGene00001446,4.407
WBGene00001447,24.498
WBGene00001448,54.819
WBGene00001449,18.433
WBGene00001450,15.952
WBGene00001451,84.432
WBGene00001452,211.507
WBGene00001453,43.65
WBGene00001454,14.325
WBGene00001455,58.039
WBGene00001456,15.47
WBGene00001457,63.107
WBGene00001458,12.603
WBGene00001459,31.018
WBGene00001460,29.322
WBGene00001461,2.516
WBGene00001462,34.028
WBGene00001463,2.302
WBGene00001464,0.219
WBGene00001465,0
WBGene00001466,7.238
WBGene00001468,0
WBGene00001470,30.916
WBGene00001475,10.528
WBGene00001476,0
WBGene00001477,4.865
WBGene00001478,0.235
WBGene00001479,6.013
WBGene00001480,11.031
WBGene00001481,13.402
WBGene00001482,0
WBGene00001483,0
WBGene00001484,27.742
WBGene00001485,15.543
WBGene00001486,7.736
WBGene00001487,0
WBGene00001488,202.359
WBGene00001489,16.918
WBGene00001490,24.631
WBGene00001491,39.101
WBGene00001492,0
WBGene00001493,4.776
WBGene00001494,8.194
WBGene00001495,0
WBGene00001496,55.457
WBGene00001497,32.107
WBGene00001498,25.388
WBGene00001499,16.82
WBGene00001500,0
WBGene00001501,31.648
WBGene00001502,383.651
WBGene00001503,189.115
WBGene00001505,0
WBGene00001506,0
WBGene00001507,3.445
WBGene00001508,29.157
WBGene00001509,57.997
WBGene00001510,4.157
WBGene00001511,0.151
WBGene00001512,0.082
WBGene00001513,4.919
WBGene00001514,0
WBGene00001515,0
WBGene00001516,13.229
WBGene00001517,0
WBGene00001518,11.657
WBGene00001519,14.838
WBGene00001520,123.829
WBGene00001522,6.939
WBGene00001523,6.751
WBGene00001526,7.119
WBGene00001527,10.112
WBGene00001528,0
WBGene00001529,0
WBGene00001530,0
WBGene00001531,0
WBGene00001532,0
WBGene00001533,0
WBGene00001534,0
WBGene00001535,0
WBGene00001536,0
WBGene00001537,44.655
WBGene00001538,2.394
WBGene00001539,0
WBGene00001540,0
WBGene00001541,0
WBGene00001542,0.104
WBGene00001543,0
WBGene00001544,0
WBGene00001545,0
WBGene00001546,8.746
WBGene00001547,0
WBGene00001548,0
WBGene00001549,0
WBGene00001550,0
WBGene00001551,0.295
WBGene00001552,0
WBGene00001553,10.727
WBGene00001554,1.614
WBGene00001555,12.243
WBGene00001556,0
WBGene00001557,0
WBGene00001558,80.436
WBGene00001559,0.785
WBGene00001560,16.987
WBGene00001561,43.247
WBGene00001562,13.518
WBGene00001563,3.47
WBGene00001564,661.511
WBGene00001565,5.275
WBGene00001566,28.609
WBGene00001568,0.894
WBGene00001569,0.179
WBGene00001570,9.593
WBGene00001571,0
WBGene00001572,126.578
WBGene00001574,26.883
WBGene00001575,9.433
WBGene00001577,4.021
WBGene00001578,0
WBGene00001579,17.337
